id,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,desc
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,FALSE,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKeMON
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,FALSE,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,FALSE,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs"
4,Charmander,Fire,,309,39,52,43,60,50,65,1,FALSE,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail"
5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,FALSE,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,FALSE,"When it swings its burning tail, it elevates the temperature to unbearably high levels"
7,Squirtle,Water,,314,44,48,65,50,64,43,1,FALSE,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth"
8,Wartortle,Water,,405,59,63,80,65,80,58,1,FALSE,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance"
9,Blastoise,Water,,530,79,83,100,85,105,78,1,FALSE,A brutal POKeMON with pressurized water jets on its shell. They are used for high speed tackles
10,Caterpie,Bug,,195,45,30,35,20,20,45,1,FALSE,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls
11,Metapod,Bug,,205,50,20,55,25,25,30,1,FALSE,"Almost incapable of moving, this POKeMON can only harden its shell to protect itself from predators"
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,FALSE,"In battle, it flaps its wings at high speed to release highly toxic dust into the air"
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,FALSE,"Often found in forests, eating leaves. it has a sharp venomous stinger on its head"
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,FALSE,"This POKeMON is vulnerable to attack while its shell is soft, exposing its weak and tender body"
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,FALSE,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,FALSE,A common sight in forests and woods. it flaps its wings at ground level to kick up blinding sand
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,FALSE,"Very protective of its sprawling territorial area, this POKeMON will fiercely peck at any intruder"
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,FALSE,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP"
19,Rattata,Normal,,253,30,56,35,25,35,72,1,FALSE,"Bites anything when it attacks. Small and very quick, it is a common sight in many places"
20,Raticate,Normal,,413,55,81,60,50,70,97,1,FALSE,It uses its whiskers to maintain its balance. It apparently slows down if they are cut off
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,FALSE,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,FALSE,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest"
23,Ekans,Poison,,288,35,60,44,40,54,55,1,FALSE,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole"
24,Arbok,Poison,,438,60,85,69,65,79,80,1,FALSE,It is rumored that the ferocious warning markings on its belly differ from area to area
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,FALSE,Its long tail serves as a ground to protect itself from its own high voltage power
26,Raichu,Electric,,485,60,90,55,90,80,110,1,FALSE,"When several of these POKeMON gather, their electricity could build and cause lightning storms"
27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,FALSE,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape
28,Sandslash,Ground,,450,75,100,110,45,55,65,1,FALSE,Burrows deep underground in arid locations far from water. It only emerges to hunt for food
29,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,FALSE,"Although small, its venomous barbs render this POKeMON dangerous. The female has smaller horns"
30,Nidorina,Poison,,365,70,62,67,55,55,56,1,FALSE,The female's horn develops slowly. prefers physical attacks such as clawing and biting
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,FALSE,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves
32,Nidoran♂,Poison,,273,46,57,40,40,40,50,1,FALSE,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom"
33,Nidorino,Poison,,365,61,72,57,55,55,65,1,FALSE,An aggressive POKeMON that is quick to attack. The horn on its head secretes a powerful venom
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,FALSE,"Protected by an armor-like hide, it is capable of living in molten lava of"
35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,FALSE,Its magical and cute appeal has many admirers. It is rare and found only in certain areas
36,Clefable,Fairy,,483,95,70,73,95,90,60,1,FALSE,A timid fairy POKeMON that is rarely seen. It will run and hide the moment it senses people
37,Vulpix,Fire,,299,38,41,40,50,65,65,1,FALSE,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older"
38,Ninetales,Fire,,505,73,76,75,81,100,100,1,FALSE,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,FALSE,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep"
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,FALSE,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size"
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,FALSE,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,FALSE,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly"
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,FALSE,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds"
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,FALSE,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,FALSE,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up"
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,FALSE,Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,FALSE,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,FALSE,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,FALSE,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has
50,Diglett,Ground,,265,10,55,25,35,45,95,1,FALSE,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground
51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,FALSE,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing
52,Meowth,Normal,,290,40,45,35,40,40,90,1,FALSE,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change
53,Persian,Normal,,440,65,70,60,65,65,115,1,FALSE,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness"
54,Psyduck,Water,,320,50,52,48,65,50,55,1,FALSE,"While lulling its enemies with its vacant look, this wily POKeMON will use psychokinetic powers"
55,Golduck,Water,,500,80,82,78,95,80,85,1,FALSE,"Often seen swimming elegantly by lake shores. It is often mistaken for the japanese monster, Kappa"
56,Mankey,Fighting,,305,40,80,35,35,45,70,1,FALSE,Extremely quick to anger. It could be docile one moment then thrashing away the next instant
57,Primeape,Fighting,,455,65,105,60,60,70,95,1,FALSE,Always furious and tenacious to boot. it will not abandon chasing its quarry until it is caught
58,Growlithe,Fire,,350,55,70,45,70,50,60,1,FALSE,Very protective of its territory. It will bark and bite to repel intruders from its space
59,Arcanine,Fire,,555,90,110,80,100,80,95,1,FALSE,A POKeMON that has been admired since the past for its beauty. It runs agilely as if on wings
60,Poliwag,Water,,300,40,50,40,40,40,90,1,FALSE,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand
61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,FALSE,"Capable of living in or out of water. when out of water, it sweats to keep its body slimy"
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,FALSE,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers
63,Abra,Psychic,,310,25,20,15,105,55,90,1,FALSE,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety"
64,Kadabra,Psychic,,400,40,35,30,120,70,105,1,FALSE,It emits special alpha waves from its body that induce headaches just by being close by
65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,FALSE,"Its brain can out-perform a super- computer. Its intelligence quotient is said to be 5,000"
66,Machop,Fighting,,305,70,80,50,35,35,35,1,FALSE,Loves to build its muscles. It trains in all styles of martial arts to become even stronger
67,Machoke,Fighting,,405,80,100,70,50,60,45,1,FALSE,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions"
68,Machamp,Fighting,,505,90,130,80,65,85,55,1,FALSE,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon"
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,FALSE,A carnivorous POKeMON that traps and eats bugs. It uses its root feet to soak up needed moisture
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,FALSE,"Said to live in huge colonies deep in jungles, although no one has ever returned from there"
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,FALSE,It spits out POISON POWDER to immobilize the enemy and then finishes it with a spray of ACID
